"i","AIC","euclid","tailup","taildown","season","parameter"
4,199.944030193008,"cubic","none","none","DJF","Mu_intercept"
7,198.264016129476,"spherical","none","exponential","MAM","Mu_intercept"
1,214.454938416459,"none","none","none","JJA","Mu_intercept"
4,187.239397708336,"cubic","none","none","SON","Mu_intercept"
4,-378.021541871197,"cubic","none","none","DJF","Mu_prec.conc"
4,-451.935538479163,"cubic","none","none","MAM","Mu_prec.conc"
3,-453.553258833536,"spherical","none","none","JJA","Mu_prec.conc"
13,-430.71271004824,"none","none","linear","SON","Mu_prec.conc"
4,-129.138230548228,"cubic","none","none","DJF","Mu_temp.conc"
17,-234.006140721772,"none","exponential","none","MAM","Mu_temp.conc"
1,-205.344093465615,"none","none","none","JJA","Mu_temp.conc"
17,-215.687512400093,"none","exponential","none","SON","Mu_temp.conc"
9,-473.516448073298,"none","none","spherical","DJF","Mu_prec.lag"
1,-511.625346089992,"none","none","none","MAM","Mu_prec.lag"
13,-461.685802309765,"none","none","linear","JJA","Mu_prec.lag"
3,-460.424663376663,"spherical","none","none","SON","Mu_prec.lag"
13,-148.411959784533,"none","none","linear","MAM","Mu_temp.lag"
8,-259.131031318032,"cubic","none","exponential","JJA","Mu_temp.lag"
9,200.318285177939,"none","none","spherical","DJF","Sig_intercept"
1,160.454463166808,"none","none","none","MAM","Sig_intercept"
4,214.826408823351,"cubic","none","none","JJA","Sig_intercept"
17,201.716051261044,"none","exponential","none","SON","Sig_intercept"
33,-492.704352603264,"none","spherical","none","DJF","Sig_prec.conc"
12,-447.599564074973,"cubic","none","spherical","MAM","Sig_prec.conc"
1,-536.214418064571,"none","none","none","JJA","Sig_prec.conc"
33,-464.89585431241,"none","spherical","none","SON","Sig_prec.conc"
1,-148.068931829112,"none","none","none","DJF","Sig_temp.conc"
1,-181.035415750773,"none","none","none","MAM","Sig_temp.conc"
4,-147.389610009665,"cubic","none","none","JJA","Sig_temp.conc"
17,-191.84654272923,"none","exponential","none","SON","Sig_temp.conc"
9,-515.321095889151,"none","none","spherical","DJF","Sig_prec.lag"
1,-465.453599160665,"none","none","none","MAM","Sig_prec.lag"
4,-529.287565102838,"cubic","none","none","SON","Sig_prec.lag"
9,-93.835679527887,"none","none","spherical","DJF","Sig_temp.lag"
33,-277.242222209836,"none","spherical","none","MAM","Sig_temp.lag"
1,-174.752615555456,"none","none","none","JJA","Sig_temp.lag"
